"SteuerJahr","QuarSort","QuarLang","SteuerTarifSort","SteuerTarifLang","SteuerEInkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2001,33,"Friesenberg",0,"Grundtarif",29.9,12.5,46.65
2001,33,"Friesenberg",1,"Verheiratetentarif",64,49.1,85
2001,33,"Friesenberg",2,"Einelternfamilientarif",37.4,20,52.1
2001,34,"Sihlfeld",0,"Grundtarif",35.4,19.7,53.6
2001,34,"Sihlfeld",1,"Verheiratetentarif",58.3,39.5,77.9
2001,34,"Sihlfeld",2,"Einelternfamilientarif",31.8,16.05,46.1
2001,41,"Werd",0,"Grundtarif",38.1,19.7,58.8
2001,41,"Werd",1,"Verheiratetentarif",60.3,36.35,85.15
2001,41,"Werd",2,"Einelternfamilientarif",32.9,12.5,59
2001,42,"Langstrasse",0,"Grundtarif",32.8,15.8,52.7
2001,42,"Langstrasse",1,"Verheiratetentarif",54.8,35,75.2
2001,42,"Langstrasse",2,"Einelternfamilientarif",36.35,16.5,49.85
2001,44,"Hard",0,"Grundtarif",30,16.8,45.7
2001,44,"Hard",1,"Verheiratetentarif",55,38.9,70.9
2001,44,"Hard",2,"Einelternfamilientarif",30.95,17.5,45.1
2001,51,"Gewerbeschule",0,"Grundtarif",36,18.3,55
2001,51,"Gewerbeschule",1,"Verheiratetentarif",57.4,41,77.6
2001,51,"Gewerbeschule",2,"Einelternfamilientarif",33.9,20,47.3
2001,52,"Escher Wyss",0,"Grundtarif",41.3,20.5,63.9
2001,52,"Escher Wyss",1,"Verheiratetentarif",64.65,44,90.7
2001,52,"Escher Wyss",2,"Einelternfamilientarif",41,20.9,56.6
2001,61,"Unterstrass",0,"Grundtarif",39.7,20.5,61.4
2001,61,"Unterstrass",1,"Verheiratetentarif",69.2,48.8,99.6
2001,61,"Unterstrass",2,"Einelternfamilientarif",38.45,23.6,55.3
2001,63,"Oberstrass",0,"Grundtarif",45.15,20.8,72.3
2001,63,"Oberstrass",1,"Verheiratetentarif",102.7,65.7,172.2
2001,63,"Oberstrass",2,"Einelternfamilientarif",54,29.7,89
2001,71,"Fluntern",0,"Grundtarif",48.1,16,82.4
2001,71,"Fluntern",1,"Verheiratetentarif",127.5,78,231.7
2001,71,"Fluntern",2,"Einelternfamilientarif",61,33.25,105.35
2001,72,"Hottingen",0,"Grundtarif",44.9,19.9,72.4
2001,72,"Hottingen",1,"Verheiratetentarif",104.2,66.2,175
2001,72,"Hottingen",2,"Einelternfamilientarif",49.65,26.8,93.2
2001,73,"Hirslanden",0,"Grundtarif",41.5,20,66.4
2001,73,"Hirslanden",1,"Verheiratetentarif",87,55.7,148.7
2001,73,"Hirslanden",2,"Einelternfamilientarif",46.8,28.15,73.2
2001,74,"Witikon",0,"Grundtarif",45.3,21.9,69.4
2001,74,"Witikon",1,"Verheiratetentarif",91.95,59.8,141.65
2001,74,"Witikon",2,"Einelternfamilientarif",52.35,33.85,75.35
2001,81,"Seefeld",0,"Grundtarif",47.2,24.2,72.2
2001,81,"Seefeld",1,"Verheiratetentarif",86.2,51.5,143.7
2001,81,"Seefeld",2,"Einelternfamilientarif",45.8,25.5,76
2001,82,"Mühlebach",0,"Grundtarif",43.8,22,68.8
2001,82,"Mühlebach",1,"Verheiratetentarif",86.15,54.6,132.3
2001,82,"Mühlebach",2,"Einelternfamilientarif",51.8,29.6,76
2001,83,"Weinegg",0,"Grundtarif",43.45,20.9,66.3
2001,83,"Weinegg",1,"Verheiratetentarif",86.3,62.2,138.3
2001,83,"Weinegg",2,"Einelternfamilientarif",54,29.9,77.2
2001,91,"Albisrieden",0,"Grundtarif",37.7,21.1,54.9
2001,91,"Albisrieden",1,"Verheiratetentarif",65.6,48.1,91.6
2001,91,"Albisrieden",2,"Einelternfamilientarif",39.8,24.7,52.95
2001,92,"Altstetten",0,"Grundtarif",35.9,19.7,52.7
2001,92,"Altstetten",1,"Verheiratetentarif",62.2,45.8,83.3
2001,92,"Altstetten",2,"Einelternfamilientarif",34.85,17.1,48.9
2001,101,"Höngg",0,"Grundtarif",45,23.4,66.7
2001,101,"Höngg",1,"Verheiratetentarif",80.6,57.9,116.2
2001,101,"Höngg",2,"Einelternfamilientarif",43.3,27.2,62.5
2001,102,"Wipkingen",0,"Grundtarif",38.7,20.3,57.8
2001,102,"Wipkingen",1,"Verheiratetentarif",65.2,45.9,90
2001,102,"Wipkingen",2,"Einelternfamilientarif",37.8,22.7,53.9
2001,111,"Affoltern",0,"Grundtarif",34.3,18.3,51.6
2001,111,"Affoltern",1,"Verheiratetentarif",65,46.6,86.7
2001,111,"Affoltern",2,"Einelternfamilientarif",37,22.1,52.55
2001,115,"Oerlikon",0,"Grundtarif",39.9,21,59.5
2001,115,"Oerlikon",1,"Verheiratetentarif",69.8,47.7,100.4
2001,115,"Oerlikon",2,"Einelternfamilientarif",39.6,23.4,58.8
2001,119,"Seebach",0,"Grundtarif",34.2,18.3,50.8
2001,119,"Seebach",1,"Verheiratetentarif",59.9,42.2,81.3
2001,119,"Seebach",2,"Einelternfamilientarif",34,16.4,50.25
2001,121,"Saatlen",0,"Grundtarif",31.25,16.8,45.3
2001,121,"Saatlen",1,"Verheiratetentarif",58,41.7,75.9
2001,121,"Saatlen",2,"Einelternfamilientarif",32.65,20.4,45.5
2001,122,"Schwamendingen-Mitte",0,"Grundtarif",32.8,18.3,48.6
2001,122,"Schwamendingen-Mitte",1,"Verheiratetentarif",59.8,41.6,77.7
2001,122,"Schwamendingen-Mitte",2,"Einelternfamilientarif",31,14.6,47.4
2001,123,"Hirzenbach",0,"Grundtarif",28.6,15.6,43.6
2001,123,"Hirzenbach",1,"Verheiratetentarif",58.65,43.1,76.4
2001,123,"Hirzenbach",2,"Einelternfamilientarif",33.2,16.7,46.2
2002,11,"Rathaus",0,"Grundtarif",43.6,19.1,72.7
2002,11,"Rathaus",1,"Verheiratetentarif",87,49.7,145.1
2002,11,"Rathaus",2,"Einelternfamilientarif",54.5,28.8,114.9
2002,12,"Hochschulen",0,"Grundtarif",33,13,61.9
2002,12,"Hochschulen",1,"Verheiratetentarif",105,57.05,195.2
2002,12,"Hochschulen",2,"Einelternfamilientarif",,,
2002,13,"Lindenhof",0,"Grundtarif",44.25,19.4,80
2002,13,"Lindenhof",1,"Verheiratetentarif",121.8,82.85,194.4
2002,13,"Lindenhof",2,"Einelternfamilientarif",,,
2002,14,"City",0,"Grundtarif",35.2,14.5,67.4
2002,14,"City",1,"Verheiratetentarif",79.5,47.3,106.4
2002,14,"City",2,"Einelternfamilientarif",40.7,25.3,63
2002,21,"Wollishofen",0,"Grundtarif",39.2,19.6,59.9
2002,21,"Wollishofen",1,"Verheiratetentarif",73.5,53.1,106.3
2002,21,"Wollishofen",2,"Einelternfamilientarif",42.48,24.8,62.3
2002,23,"Leimbach",0,"Grundtarif",36.2,19.8,54.7
2002,23,"Leimbach",1,"Verheiratetentarif",69.15,47.25,95.35
2002,23,"Leimbach",2,"Einelternfamilientarif",47.25,30.4,65.15
2002,24,"Enge",0,"Grundtarif",46.3,21.4,73.7
2002,24,"Enge",1,"Verheiratetentarif",93.2,57.8,147.4
2002,24,"Enge",2,"Einelternfamilientarif",48.8,21.5,84.2
2002,31,"Alt-Wiedikon",0,"Grundtarif",40.3,21.4,60.2
2002,31,"Alt-Wiedikon",1,"Verheiratetentarif",64.5,42.4,95
2002,31,"Alt-Wiedikon",2,"Einelternfamilientarif",39.9,21.6,61.5
2002,33,"Friesenberg",0,"Grundtarif",29.6,12.2,47.1
2002,33,"Friesenberg",1,"Verheiratetentarif",64.95,49.3,85.4
2002,33,"Friesenberg",2,"Einelternfamilientarif",38.9,24.5,53.3
2002,34,"Sihlfeld",0,"Grundtarif",35.5,18.8,53.6
2002,34,"Sihlfeld",1,"Verheiratetentarif",58.1,39,77.6
2002,34,"Sihlfeld",2,"Einelternfamilientarif",33.65,18.25,48.05
2002,41,"Werd",0,"Grundtarif",38.5,18.2,58.5
2002,41,"Werd",1,"Verheiratetentarif",60,36.3,82.7
2002,41,"Werd",2,"Einelternfamilientarif",30.1,8.6,53.4
2002,42,"Langstrasse",0,"Grundtarif",32.7,15.5,52.9
2002,42,"Langstrasse",1,"Verheiratetentarif",54.15,35.2,75.5
2002,42,"Langstrasse",2,"Einelternfamilientarif",33.65,14.4,50.05
2002,44,"Hard",0,"Grundtarif",29.6,15.6,45.3
2002,44,"Hard",1,"Verheiratetentarif",55.1,38.3,72.05
2002,44,"Hard",2,"Einelternfamilientarif",33.1,17.4,46.1
2002,51,"Gewerbeschule",0,"Grundtarif",35.9,18.3,55.4
2002,51,"Gewerbeschule",1,"Verheiratetentarif",56.95,38,77.6
2002,51,"Gewerbeschule",2,"Einelternfamilientarif",35.1,23.3,47.2
2002,52,"Escher Wyss",0,"Grundtarif",45.05,25,64.7
2002,52,"Escher Wyss",1,"Verheiratetentarif",68.8,47,100.2
2002,52,"Escher Wyss",2,"Einelternfamilientarif",42.1,15.4,68.3
2002,61,"Unterstrass",0,"Grundtarif",40.3,21.2,62.2
2002,61,"Unterstrass",1,"Verheiratetentarif",70.1,50,98.6
2002,61,"Unterstrass",2,"Einelternfamilientarif",40.05,24.5,58.5
2002,63,"Oberstrass",0,"Grundtarif",45.5,20.4,73.6
2002,63,"Oberstrass",1,"Verheiratetentarif",103.6,66.7,161.9
2002,63,"Oberstrass",2,"Einelternfamilientarif",55.5,29.7,91.4
2002,71,"Fluntern",0,"Grundtarif",48.1,16.3,81.3
2002,71,"Fluntern",1,"Verheiratetentarif",126,77.5,218.7
2002,71,"Fluntern",2,"Einelternfamilientarif",64.9,41.75,121.95
2002,72,"Hottingen",0,"Grundtarif",45.2,20,75
2002,72,"Hottingen",1,"Verheiratetentarif",106.9,66.6,180
2002,72,"Hottingen",2,"Einelternfamilientarif",52.3,30.1,89.2
2002,73,"Hirslanden",0,"Grundtarif",41.9,20.25,67.35
2002,73,"Hirslanden",1,"Verheiratetentarif",87.5,57.1,146.6
2002,73,"Hirslanden",2,"Einelternfamilientarif",51,35.9,77.1
2002,74,"Witikon",0,"Grundtarif",45,21.2,68.9
2002,74,"Witikon",1,"Verheiratetentarif",90.95,58.5,138.1
2002,74,"Witikon",2,"Einelternfamilientarif",54.1,32.6,84.6
2002,81,"Seefeld",0,"Grundtarif",47.5,23.9,73.85
2002,81,"Seefeld",1,"Verheiratetentarif",84.7,52.1,141.6
2002,81,"Seefeld",2,"Einelternfamilientarif",50.3,23.2,83.4
2002,82,"Mühlebach",0,"Grundtarif",43,21.3,69
2002,82,"Mühlebach",1,"Verheiratetentarif",85.95,56.5,129.6
2002,82,"Mühlebach",2,"Einelternfamilientarif",50.15,31.2,74.9
2002,83,"Weinegg",0,"Grundtarif",43.1,19.1,66.1
2002,83,"Weinegg",1,"Verheiratetentarif",90.3,61.1,138.1
2002,83,"Weinegg",2,"Einelternfamilientarif",47.95,24.75,67.95
2002,91,"Albisrieden",0,"Grundtarif",37,20.9,54.5
2002,91,"Albisrieden",1,"Verheiratetentarif",65.1,48,91.2
2002,91,"Albisrieden",2,"Einelternfamilientarif",39.5,23.3,55
2002,92,"Altstetten",0,"Grundtarif",36.1,19.3,52.8
2002,92,"Altstetten",1,"Verheiratetentarif",62.4,46.1,82.8
2002,92,"Altstetten",2,"Einelternfamilientarif",35.5,19.4,50
2002,101,"Höngg",0,"Grundtarif",45.1,23.4,66.6
